Date,Game Number,Period,Location,Time,Interval,Total Seconds
2/07/17,53,3,Away,52.06,46.05,3126
2/09/17,54,2,Away,20.44,20.44,1244
2/09/17,54,2,Away,28.53,8.09,1733
2/09/17,54,3,Away,50.47,21.94,3047
2/11/17,55,1,Away,4.56,4.56,296
2/11/17,55,2,Away,39.59,35.03,2399
2/11/17,55,3,Away,54.23,14.64,3263
2/12/17,56,1,Away,9.07,9.07,547
2/12/17,56,1,Away,16.37,7.3,997
2/12/17,56,2,Away,25,8.63,1500
2/12/17,56,2,Away,35.33,10.33,2133
2/14/17,57,n/a,Away,n/a,n/a,na
2/16/17,58,1,Away,10.15,10.15,615
2/16/17,58,2,Away,28.27,18.12,1707
2/16/17,58,3,Away,46.49,18.22,2809
2/18/17,59,1,Home,12.44,12.44,764
2/19/17,60,2,Home,23.43,23.43,1423
2/19/17,60,2,Home,32.42,8.99,1962
2/25/17,61,2,Home,32.02,32.02,1922
2/28/17,62,2,Home,21.55,21.55,1315
2/28/17,62,3,Home,57.14,35.59,3434
3/02/17,63,1,Away,7.38,7.38,458
3/04/17,64,1,Away,11.37,11.37,697
3/04/17,64,1,Away,18.28,6.91,1108
3/04/17,64,2,Away,26.38,8.1,1598
3/04/17,64,2,Away,32.43,6.05,1963
3/05/17,65,1,Away,14.09,14.09,849
3/05/17,65,2,Away,26.35,12.26,1595
3/07/17,66,3,Home,52.49,52.49,3169
3/09/17,67,2,Home,21.35,21.35,1295
3/09/17,67,2,Home,23.31,1.96,1411
3/09/17,67,3,Home,59.4,36.09,3580
3/11/17,68,n/a,Home,n/a,n/a,na
3/13/17,69,1,Home,15.47,15.47,947
3/13/17,69,1,Home,17.05,1.58,1025
3/13/17,69,2,Home,34.19,17.14,2059
3/16/17,70,1,Home,13.27,13.27,807
3/16/17,70,2,Home,39.58,26.31,2398
3/18/17,71,n/a,Away,n/a,n/a,na
3/21/17,72,1,Away,19,19,1140
3/21/17,72,2,Away,21.33,2.33,1293
3/21/17,72,2,Away,27.45,6.12,1665
3/21/17,72,3,Away,42.15,14.7,2535
3/23/17,73,1,Away,13.38,13.38,818
3/25/17,74,2,Away,20.19,20.19,1219
3/25/17,74,2,Away,25.4,5.21,1540
3/25/17,74,2,Away,31.51,6.11,1911
3/25/17,74,2,Away,33.37,1.86,2017
3/26/17,75,1,Away,19.38,19.38,1178
3/28/17,76,3,Home,42.34,42.34,2554
3/31/17,77,n/a,Home,n/a,n/a,na
4/02/17,78,3,Home,56.07,56.07,3367
4/04/17,79,3,Away,43.3,43.3,2610
4/06/17,80,1,Away,7.51,7.51,471
4/06/17,80,3,Away,41.47,33.96,2507
4/06/17,80,3,Away,52.4,10.93,3160
4/08/17,81,2,Home,36.36,36.36,2196
4/08/17,81,3,Home,59.2,22.84,3560
4/09/17,82,2,Away,22,22,1320
4/09/17,82,3,Away,42.35,20.35,2555
